,comment
175,"['hadoop2295', 'fix', 'assigning', 'region', 'multiple', 'serversgitsvnid', 'httpssvnapacheorgreposasflucenehadooptrunksrccontribhbase599578', '13f7953547bb03109956ffa450edef68']"
176,"['hbase3653', 'parallelize', 'server', 'requests', 'hbase', 'clientgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1082648', '13f7953547bb03109956ffa450edef68']"
177,"['hbase1386', 'npe', 'housekeepinggitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk772703', '13f7953547bb03109956ffa450edef68']"
178,"['hbase7307', 'metareadertableexists', 'return', 'false', 'specified', 'table', 'regions', 'split', 'rajeshgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1419998', '13f7953547bb03109956ffa450edef68']"
179,"['hbase2057', 'cluster', 'wont', 'stopgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk894111', '13f7953547bb03109956ffa450edef68']"
180,"['hbase2757', 'fix', 'flaky', 'testfromclientside', 'test', 'forcing', 'region', 'assignmentgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk956716', '13f7953547bb03109956ffa450edef68']"
181,"['hbase1136', 'hashfunction', 'inadvertently', 'destroys', 'randomness', 'revertinggitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk735880', '13f7953547bb03109956ffa450edef68']"
182,"['fix', 'spurious', '400s', 'produced', 'testgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk790486', '13f7953547bb03109956ffa450edef68']"
183,"['hbase3591', 'completebulkload', 'doesnt', 'honor', 'generic', 'optionsgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1076709', '13f7953547bb03109956ffa450edef68']"
184,"['hbase7715', 'fsutilswaitonsafemode', 'incorrectly', 'loop', 'standby', 'nn', 'ted', 'yugitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1440600', '13f7953547bb03109956ffa450edef68']"
185,"['hbase1537', 'intrarow', 'scanning', 'apply', 'limit', 'multiple', 'familiesgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk951682', '13f7953547bb03109956ffa450edef68']"
186,"['hbase3082', 'icv', 'gets', 'first', 'look', 'memstore', 'reading', 'storefiles', 'prakash', 'via', 'jgraygitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1026910', '13f7953547bb03109956ffa450edef68']"
187,"['hbase920', 'make', 'region', 'balancing', 'sloppiergitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk704781', '13f7953547bb03109956ffa450edef68']"
188,"['hbase798', 'provide', 'client', 'api', 'explicitly', 'lock', 'unlock', 'rows', 'jonathan', 'gray', 'via', 'jim', 'kellermangitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk685391', '13f7953547bb03109956ffa450edef68']"
189,"['hbase1552', 'provide', 'version', 'running', 'cluster', 'via', 'getclusterstatusgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk786666', '13f7953547bb03109956ffa450edef68']"
190,"['hbase1142', 'cleanup', 'thrift', 'server', 'remove', 'text', 'profuse', 'debug', 'messaginggitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk736495', '13f7953547bb03109956ffa450edef68']"
191,"['hbase15354', 'use', 'criteria', 'clearing', 'meta', 'cache', 'operations', 'addendum', 'ashu', 'pachauri']"
192,"['hbase10818', 'add', 'integration', 'test', 'bulkload', 'replicas', 'nick', 'dimiduk', 'devaraj', 'das']"
193,"['hbase1866', 'scanscan', 'copy', 'constructor', 'copy', 'value', 'cacheblocksgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk818656', '13f7953547bb03109956ffa450edef68']"
194,"['hbase1773', 'fix', 'broken', 'tests', 'setwritebuffer', 'throws', 'ioegitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk805236', '13f7953547bb03109956ffa450edef68']"
195,"['hbase5927', 'ssh', 'disabletablehandler', 'happening', 'together', 'clear', 'znode', 'region', 'rit', 'map', 'rajeshgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1339913', '13f7953547bb03109956ffa450edef68']"
196,"['hbase3429', 'hbaseobjectwritable', 'support', 'arrays', 'writable', 'serializable', 'writablegitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1056548', '13f7953547bb03109956ffa450edef68']"
197,"['hbase9095', 'assignmentmanagers', 'handleregion', 'respect', 'single', 'threaded', 'nature', 'processinggitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1510799', '13f7953547bb03109956ffa450edef68']"
198,"['hbase11370', 'ssh', 'doesnt', 'need', 'scan', 'meta', 'using', 'zk', 'assignment']"
199,"['hbase8737', 'replication', 'change', 'replication', 'rpc', 'use', 'cell', 'blocksgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1499118', '13f7953547bb03109956ffa450edef68']"
200,"['hbase4460', 'support', 'running', 'embedded', 'thriftserver', 'within', 'regionserver', 'jgraygitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1186586', '13f7953547bb03109956ffa450edef68']"
201,"['hbase10885', 'support', 'visibility', 'expressions', 'deletes', 'ram']"
202,"['hbase1722', 'add', 'support', 'exporting', 'hbase', 'metrics', 'via', 'jmxgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk813229', '13f7953547bb03109956ffa450edef68']"
203,"['hbase8921', 'thrift2', 'add', 'genericoptionsparser', 'thrift', '2', 'servergitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1501982', '13f7953547bb03109956ffa450edef68']"
204,"['hbase12176', 'walcellcodec', 'encoders', 'support', 'nonkeyvalue', 'cells', 'anoop', 'sam', 'john']"
205,"['hbase9999', 'add', 'support', 'small', 'reverse', 'scangitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1573949', '13f7953547bb03109956ffa450edef68']"
206,"['hbase7197', 'add', 'multi', 'get', 'remotehtable', 'elliott', 'clarkgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1422143', '13f7953547bb03109956ffa450edef68']"
207,"['hbase3167', 'hbase', 'export', 'add', 'ability', 'export', 'specific', 'column', 'family', 'turn', 'block', 'cache', 'export', 'improve', 'usage', 'docgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1028546', '13f7953547bb03109956ffa450edef68']"
208,"['test', 'deleting', 'percolate', 'type', 'differently', 'instead', 'checking', 'types', 'exist', 'api', 'register', 'documenttypelistener', 'notifies', 'percolate', 'queries', 'cleared']"
209,"['cluster', 'health', 'api', 'add', 'waitfornodes', 'accepts', 'n', 'n', 'n', 'n', 'n', 'closes', '269']"
210,"['improve', 'handling', 'memory', 'caching', 'file', 'system', 'force', 'compound', 'file', 'really', 'needed', 'extension', 'exists', 'within', 'compound', 'file', 'part', 'memory', 'cached', 'extensions']"
211,"['added', 'geodistance', 'test', 'verifies', 'difference', 'behaviour', 'arc', 'plane', 'causing', 'elliptical', 'results']"
212,"['nullpointerexception', 'invalid', 'faceted', 'query', 'closes', '1136']"
213,"['test', 'added', 'test', 'verifies', 'data', 'integrity', 'simulated', 'network', 'split']"
214,"['cut', 'stringscriptdatacomparator', 'use', 'bytesref', 'instead', 'stringscloses', '2920']"
215,"['clean', 'code']"
216,"['test', 'fix', 'simplify', 'logic']"
217,"['fix', 'cluster', 'state', 'mapping', 'informaton', 'return', 'mapping', 'name', 'key', 'source', 'field']"
218,"['optimize', 'aliases', 'processingcloses', '2832']"
219,"['fix', 'ackclusterupdatesettingsittestclusterupdatesettingsacknowledgement', 'changes', '14259closes', '14278']"
220,"['add', 'hassinglearraybackingstorage', 'allow', 'optimization', 'really', 'single', 'array', 'multi', 'dimensional', 'one']"
221,"['test', 'renamed', 'variables', 'scriptservicetests']"
222,"['fix', 'typo', 'hunspell', 'logging']"
223,"['inital', 'support', 'zen', 'discovery', 'module', 'multicast', 'discovery', 'implemented']"
224,"['simplify', 'testclustertestcluster', 'doesnt', 'use', 'reference', 'counting', 'anymore', 'andtestcluster', 'names', 'based', 'creation', 'time', 'prevent', 'confilcts', 'ifbuilds', 'hang']"
225,"['tests', 'add', 'test', 'parsing', 'name', 'field', 'rangequeryparser']"
226,"['test', 'fixed', 'testcluster', 'size', 'javadocs']"
227,"['query', 'dsl', 'add', 'filters', 'closes', '216']"
228,"['cleanup', 'long', 'values']"
229,"['fix', 'file', 'handle', 'leak', 'readblob', 'method', 'abstractfsblobcontainer']"
230,"['added', 'clear', 'scroll', 'apithe', 'clear', 'scroll', 'api', 'allows', 'clear', 'resources', 'associated', 'scrollid', 'deleting', 'scrollid', 'associated', 'searchcontextcloses', '3657']"
231,"['small', 'cleanup']"
232,"['allow', 'configure', 'common', 'logger', 'prefix', 'using', 'esloggerprefix', 'system', 'prop', 'closes', '360']"
233,"['fix', 'name']"
234,"['introduce', 'readwritesharedstring', 'streaming', 'currently', 'treat', 'strings', 'shared', 'either', 'full', 'equality', 'identity', 'equality', 'almost', 'times', 'know', 'serialized', 'shared', 'add', 'explicitly', 'writereadsharedstring', 'use', 'applicable', 'writereadstring', 'treat', 'shared', 'relates', '3322']"
235,"['change', 'default', 'operator', 'lowfreqoperator', 'highfreqoperator', 'parameters', 'common', 'queriescloses', '3178']"
236,"['add', 'marker', 'cachedfilter', 'allows', 'easily', 'globally', 'check', 'cache', 'filter', 'filter', 'caching', 'uses', 'marker', 'interface']"
237,"['added', 'support', 'acknowledgements', 'update', 'cluster', 'settings', 'apias', 'side', 'note', 'internal', 'reroute', 'call', 'part', 'ack', 'mechanism', 'means', 'response', 'contains', 'acknowledged', 'flag', 'internal', 'reroute', 'eventually', 'issued', 'acknowledged', 'also', 'even', 'request', 'acknowledged', 'reroute', 'issued', 'returning', 'means', 'need', 'manually', 'call', 'reroute', 'afterwards', 'make', 'sure', 'new', 'settings', 'immediately', 'appliedcloses', '3995']"
238,"['http', 'transport', 'allow', 'configure', 'maxheadersize', 'maxinitiallinelength', 'maxchunksize', 'closes', '1174']"
239,"['add', 'missing', 'index', 'name', 'indexing', 'slow', 'logthis', 'lost', 'refactoring', 'even', '2x', 'branch', 'slowlogis', 'per', 'index', 'per', 'shard', 'anymore', 'dont', 'add', 'theshard', 'id', 'logger', 'prefix', 'commit', 'adds', 'back', 'indexname', 'part', 'logging', 'message', 'prefix', 'loggerfor', 'better', 'testabilitlycloses', '17025']"
240,"['added', 'keywordrepeatfilter', 'allows', 'emitting', 'stemmed', 'unstemmed', 'versions', 'token', 'stemmers', 'usedcloses', '2753']"
241,"['catch', 'amazonclientexceptions', 'prevent', 'connection', 'loss', 'aws', 'client', 'throws', 'exception', 'eg', 'dns', 'failure', 'end', 'killing', 'rejoin', 'thread', 'stop', 'retrying', 'lead', 'node', 'getting', 'stuck', 'unable', 'rejoin', 'clustercloses', '30']"
242,"['zen', 'disco', 'support', 'node', 'act', 'client', 'become', 'master', 'using', 'discoveryzenmaster', 'setting', 'default', 'true', 'automatically', 'set', 'false', 'nodeclient', 'set', 'true']"
243,"['facets', 'deprecationusers', 'encouraged', 'move', 'new', 'aggregation', 'framework', 'wasintroduced', 'elasticsearch', '10close', '6485']"
244,"['translog', 'implement', 'file', 'system', 'based', 'translog', 'make', 'default', 'closes', '260']"
245,"['introduced', 'common', 'test', 'methods', 'matchedqueriestests', 'eg', 'createindex', 'ensuregreen', 'refresh', 'asserthitcount']"
246,"['migrating', 'nodesinfo', 'api', 'use', 'plugins', 'instead', 'singular', 'pluginin', 'order', 'consistent', '10', 'switched', 'fromparameter', 'driven', 'information', 'specifzing', 'metrics', 'part', 'urithis', 'patch', 'moves', 'plugin', 'plugins', 'nodes', 'info', 'api']"
247,"['fix', 'parsing', 'file', 'based', 'template', 'loadingwe', 'support', 'three', 'different', 'settings', 'templates', 'settings', 'index', 'numberofshards', '12', 'settings', 'indexnumberofshards', '12', 'settings', 'numberofshards', '12', 'latter', 'one', 'supported', 'fix', '4235this', 'commit', 'fixes', 'issue', 'uses', 'randomized', 'testing', 'test', 'three', 'cases', 'running', 'integration', 'testscloses', '4411']"
248,"['refactor', 'sub', 'fetch', 'phase', 'also', 'allow', 'hits', 'level', 'execution']"
249,"['support', 'yaml', 'detection', 'char', 'sequence']"
250,"['test', 'stabelize', 'morelikethisactionteststhe', 'testcomparemorelikethisdslwithapi', 'test', 'compares', 'results', 'queryand', 'api', 'might', 'query', 'different', 'shards', 'shares', 'might', 'usedifferent', 'doc', 'ids', 'internally', 'disambiguate', 'commit', 'resorts', 'theresults', 'compares', 'stable', 'disambiguation']"
251,"['percolator', 'response', 'always', 'returns', 'matches', 'keycloses', '4881']"
252,"['add', 'debug', 'log', 'using', 'compressed', 'stored', 'fields']"
253,"['matching', 'root', 'docs', 'inner', 'objects', 'dont', 'match', 'nestedfilter', 'missing', 'value', 'used', 'sort', 'root', 'doc', 'closes', '3020']"
254,"['test', 'dont', 'delete', 'data', 'dirs', 'test', 'delete', 'contentcloses', '5815']"
255,"['improved', 'test', 'printed', 'potential', 'shard', 'failures']"
256,"['pull', 'fields', 'reader']"
257,"['optimize', 'multiple', 'cluster', 'state', 'processing', 'receiving', 'nodes', 'nodes', 'receive', 'cluster', 'state', 'several', 'pending', 'optimize', 'try', 'process', 'potentially', 'one', 'closes', '5139']"
258,"['fix', 'indicesrecoveryconcurrentsmallfilestreams', 'dynamically', 'settablefixes', '4094']"
259,"['added', 'support', 'acknowledgement', 'nodes', 'openclose', 'index', 'apithe', 'openclose', 'index', 'api', 'waits', 'acknowledgement', 'nodes', 'returning', 'response', 'till', 'timeout', 'configurable', 'default', '10', 'secs', 'expires', 'returned', 'acknowledged', 'flag', 'reflects', 'whether', 'cluster', 'state', 'change', 'acknowledged', 'nodes', 'timeout', 'expired', 'beforecloses', '3400']"
260,"['move', 'databasereaders', 'initialization', 'ingestgeoippluginonmodule']"
261,"['lucene', '4', 'use', 'proper', 'token', 'stream', 'return']"
262,"['rename', 'node', 'discoverynode']"
263,"['testing', 'add', 'test', 'rule', 'repeat', 'tests', 'binding', 'exceptionsdue', 'possibility', 'ports', 'already', 'used', 'choosing', 'arandom', 'port', 'makes', 'sense', 'simply', 'repeat', 'unit', 'test', 'upon', 'bindexceptionthis', 'commit', 'adds', 'junit', 'rule', 'exactly', 'notrequire', 'change', 'test', 'code', 'add', 'loopscloses', '9010']"
264,"['dont', 'allow', 'unallocated', 'indexes', 'closedcloses', '3313']"
265,"['tests', 'use', 'found', 'index', 'files', 'instead', 'static', 'list', 'static', 'bwc', 'testsit', 'pain', 'add', 'new', 'static', 'index', 'update', 'oldindex', 'test', 'removes', 'need', 'latter', 'stepcloses', '9854']"
266,"['add', 'index', 'level', 'setting', 'disableenable', 'purging', 'expired', 'docs', 'issue', '1791']"
267,"['remove', 'infinity', 'values', 'range', 'facets', 'docs', 'match', 'range', 'closes', '1366']"
268,"['added', 'unicodecharacterclass', 'support', 'regex', 'flags', 'flag', 'supported', 'java7', 'ignored', 'set', 'java', '6', 'jvmcloses', '2895']"
269,"['bytesstreamoutput', 'default', 'size', '2k', 'instead', '32k', 'changed', 'default', 'bytesstreamoutput', 'used', 'various', 'places', 'es', '32k', '1k', 'assumption', 'stream', 'tend', 'large', 'doesnt', 'hold', 'example', 'indexing', 'small', 'documents', 'adding', 'using', 'xcontentbuilder', 'large', 'overheaddefault', 'buffer', 'size', '2k', 'relatively', 'aggressive', 'expanding', 'buffer', '256k', 'double', 'use', 'oversize', '18th', 'larger', 'try', 'minimize', 'garbage', 'buffer', 'copiesrelates', '3624closes', '3638']"
270,"['sorting', 'score', 'uri', 'format', 'reversed', 'closes', '1191']"
271,"['changed', 'geoencodingtests', 'ensure', 'accuracy', 'always', '1mm', 'due', 'rounding', 'errors', 'small', 'numbers']"
272,"['fixed', 'resolving', 'closest', 'nested', 'object', 'sorting', 'field', 'inside', 'nested', 'object']"
273,"['fix', 'robinengineintegrationtest', 'missed', 'explicitly', 'create', 'index']"
274,"['fix', 'npe', 'rangeaggregator']"
275,"['internal', 'use', 'atomicinteger', 'instead', 'volatile', 'int', 'current', 'action', 'filter', 'positionalso', 'improved', 'filter', 'chain', 'tests', 'rely', 'execution', 'time', 'made', 'filter', 'chain', 'tests', 'look', 'similar', 'happens', 'reality', 'removing', 'multiple', 'threads', 'creation', 'testtoomanycontinueprocessing', 'something', 'dont', 'support', 'anyway', 'makes', 'little', 'sense', 'test', 'itcloses', '7021']"
276,"['remove', 'dead', 'code', 'add', 'missing', 'override', 'annotations']"
277,"['test', 'readd', 'rebalance', 'disable', 'setting', 'recoveryfromgatewaytests']"
278,"['fix', 'bug', 'new', 'checksum', 'mechanism', 'caused', 'replicas', 'retain', 'checksums', 'file', 'also', 'checksums', 'widely', 'used', 'consider', 'files', 'without', 'checksums', 'ones', 'need', 'recovered']"
279,"['fielddata', 'remove', 'bytesvalueswithordinalscurrentord', 'copysharedthese', 'methods', 'dont', 'exist', 'lucenes', 'sorted', 'set', 'doc', 'valuesrelates', '6524']"
280,"['recovery', 'settings', 'change', 'settings', 'still', 'support', 'old', 'settings', 'allow', 'dynamic', 'settings', 'closes', '1303']"
281,"['optimize', 'boolean', 'queries', 'possible']"
282,"['remove', 'get', 'index', 'templates', 'deprecated', 'methods', '0904', 'deprecated', 'code', 'getindextemplatesrequestgetindextemplatesrequeststring', 'moved', 'getindextemplatesrequestgetindextemplatesrequeststring', 'getindextemplatesrequestnamestring', 'moved', 'getindextemplatesrequestnamesstring', 'getindextemplatesrequestname', 'moved', 'getindextemplatesrequestnames', 'getindextemplatesrequestbuildergetindextemplatesrequestbuilderindicesadminclient', 'string', 'moved', 'getindextemplatesrequestbuildergetindextemplatesrequestbuilderindicesadminclient', 'string', 'indicesadminclientpreparegettemplatesstring', 'moved', 'indicesadminclientpreparegettemplatesstring', 'abstractindicesadminclientpreparegettemplatesstring', 'moved', 'abstractindicesadminclientpreparegettemplatesstringwe', 'remove', 'old', 'methods', '10note', 'breaks', 'java', 'apirelative', '2532closes', '3681']"
283,"['use', 'custom', 'similarity', 'search', 'one']"
284,"['improve', 'memcached', 'test']"
285,"['allow', 'plugins', 'register', 'rest', 'filter', 'better', 'support', 'async', 'execution', 'renaming', 'closes', '1658']"
286,"['lucene', '4', 'fixed', 'bitsetexecutionchildquerysearchtests', 'class']"
287,"['shard', 'allocation', 'closed', 'indices', 'properly', 'taken', 'account', 'rebalancing', 'closes', '858']"
288,"['allow', 'additional', 'settings', 'node', 'essinglenodetestcasethis', 'change', 'adds', 'method', 'extending', 'classes', 'override', 'provide', 'additional', 'settingsfor', 'node', 'used', 'single', 'node', 'test', 'case']"
289,"['remove', 'equalshashcode', 'part', 'pipeline', 'adapt', 'testsonly', 'mutateprocessor', 'implemented', 'equals', 'hashcode', 'hence', 'would', 'use', 'one', 'tests', 'since', 'relied', 'better', 'rely', 'equalshashcode', 'drop', 'mock', 'processorpipeline', 'tests', 'need', 'also', 'allow', 'make', 'mutateprocessor', 'constructor', 'package', 'private', 'processors']"
290,"['pass', 'node', 'seed', 'node', 'level', 'settings', 'testcluster']"
291,"['fix', 'test', 'failure']"
292,"['fixed', 'issue', 'merge']"
293,"['add', 'anotehr', 'test']"
294,"['catch', 'log', 'rejectedexecutionexception', 'async', 'ping']"
295,"['rename', 'engineseacher', 'engineacquiresearcherthe', 'name', 'reflect', 'caller', 'responsible', 'forreleaseing', 'searcher']"
296,"['add', 'thread', 'pool', 'type', 'really', 'testing']"
297,"['histogram', 'facet', 'allow', 'define', 'key', 'field', 'value', 'script', 'closes', '517']"
298,"['remove', 'unused', 'code']"
299,"['mapping', 'disabled', 'optimize', 'gather', 'entries', 'closes', '722']"
300,"['fix', 'possible', 'exception', 'tocamelcase', 'method']"
301,"['randomize', 'node', 'level', 'setting', 'per', 'node', 'per', 'cluster']"
302,"['aggregations', 'change', 'default', 'shardsize', 'terms', 'aggregationthe', 'default', 'shard', 'size', 'terms', 'aggregation', 'uses', 'bucketutilssuggestshardsidequeuesize', 'set', 'shard', 'size', 'user', 'specify', 'parametercloses', '6857']"
303,"['add', 'peer', 'recovery', 'status', 'indices', 'status', 'api', 'exposing', 'going', 'summary', 'recovering', 'peer', 'shard']"
304,"['tests', 'improve', 'test', 'coverageclose', '7428']"
305,"['increase', 'netty', 'worker', 'count', 'default', 'updated', 'value', 'netty', 'defaults']"
306,"['test', 'make', 'recovery', 'slow', 'rerouterecoverytest', 'aware', 'index', 'size']"
307,"['make', 'test', 'less', 'evil']"
308,"['tests', 'repaired']"
309,"['fields', 'protected']"
310,"['nullable', 'problems', 'disable', 'warnings', 'complex', 'getterssetters', 'idea63958']"
311,"['annotation', 'default', 'value', 'parsing', 'fixed']"
312,"['cleanup', 'idea90461']"
313,"['idea70843', 'fix', 'hector', 'slider', 'gtk', 'lf']"
314,"['additional', 'null', 'check']"
315,"['one', 'dndenabler', 'little', 'fix']"
316,"['add', 'suggestions', 'literal', 'expressions', 'idea57593']"
317,"['disable', 'pattern', 'configuration', 'named', 'packages', 'idea151250']"
318,"['gradle', 'correctly', 'set', 'testmoduleproperties', 'modules', 'containing', 'names', 'idea151590']"
319,"['replace', 'instanceof', 'template', 'variable', 'variable', 'segment']"
320,"['make', 'possible', 'enhance', 'color', 'schemes', 'plugin', 'nonintellij', 'environment', 'eg', 'upsource']"
321,['cleanup']
322,['cleanup']
323,"['memory', 'leak', 'fixed', 'area', 'instances', 'connected', 'project', 'module', 'havent', 'disposed', 'disposal']"
324,"['renaming', 'preview', 'files']"
325,"['implement', 'open', 'hash', 'addressing', 'index', 'leaf', 'page', 'avoid', 'large', 'moves']"
326,"['intellilang', 'avoid', 'costly', 'service', 'lookups']"
327,"['idea127075', 'ide', 'hang', 'file', 'structure']"
328,"['dont', 'suggest', 'convert', 'groovystyle', 'property', 'access', 'inside', 'closure']"
329,"['idea114890', 'find', 'jar', 'web', 'looking', 'libraries', 'progress', 'cant', 'cancelled']"
330,"['move', 'statement', 'enabled', 'moving', 'end', 'file']"
331,['npe']
332,"['refactor', 'name', 'could', 'rc']"
333,"['diff', 'better', 'name', 'default', 'diff', 'tool']"
334,"['ui', 'use', 'setter']"
335,"['ideadev1678', 'ideadev1685', 'added', 'icons', 'count', 'folders', 'thumbnails', 'view', 'added', 'editexternaly', 'editors', 'actions']"
336,['ideadev20992']
337,"['fixed', 'py2674', 'assignment', 'replaced', 'augmented', 'assignmet', 'breaks', 'context']"
338,"['py1635', 'extract', 'method', 'middle', 'expression', 'generates', 'broken', 'code']"
339,"['move', 'suppresssettings', 'intention', 'idea72320']"
340,['typos']
341,"['filenamecache', 'enable', 'caching', 'always', 'dont', 'store', 'common', 'prefix', 'saves', '8', 'entry', 'bytes', 'vs', 'less', 'prefix', 'average', 'length']"
342,"['fixed', 'django', 'template', 'commenter', 'py1949']"
343,"['fix', 'indefinite', 'loop', 'idea67750']"
344,"['stackoverflow', 'fixed']"
345,"['use', 'common', 'exceptionutil']"
346,"['fix', 'upsource']"
347,"['idea63381', 'find', 'android', 'module', 'platform', 'specified']"
348,"['formatting', 'injected', 'code', 'refactored', '3']"
349,"['idea94048', 'maven', 'run', 'configuration', 'profiles', 'list', 'gets', 'randomly', 'reordered', 'closing', 'opening', 'project']"
350,"['make', 'find', 'toolwindow', 'work', 'dumb', 'mode', 'correctly', 'navigate']"
351,"['aware', 'sourcemap', 'file']"
352,"['dont', 'offer', 'download', 'source', 'maven', 'artifact', 'system', 'scope']"
353,"['wi31168', 'unable', 'save', 'settings', 'upgrade', '20161', 'cherry', 'picked', 'commit', '5b98073']"
354,"['better', 'messages', 'format']"
355,"['title', 'changed']"
356,"['idea81004', 'deadlock', 'softwrapappliancemanagerbreaking', 'potentially', 'endless', 'loop', 'report', 'error']"
357,"['svn', 'configure', 'branches', 'npe']"
358,"['reorder', 'instructions', 'maybe', 'itll', 'fix', 'strange', 'imse']"
359,"['treeui', 'npe', 'showcentered', 'visible', 'rows', 'tree']"
360,"['npe', 'fix']"
361,['fix']
362,"['added', 'code', 'completion', 'test']"
363,"['fragments', 'differences', 'comments', 'considered', 'equivalent']"
364,"['optimization', 'determine', 'token', 'end', 'next', 'token', 'start', 'psibuilder']"
365,"['ruby', 'test', 'runner', 'statistcis', 'sort', 'tests', 'column']"
366,"['diff', 'allow', 'highlight', 'changes', 'without', 'border']"
367,"['idea78863', 'live', 'templates', 'accessible', 'readonly', 'file', 'eg', 'versioned', 'perforce', 'tfs']"
368,"['fixed', 'py12251', 'project', 'interpreters', 'create', 'virtualenv', 'settings', 'doesnt', 'update', 'warnigns', 'python', 'package', 'management', 'tools']"
369,"['report', 'expressions', 'like', 'b', 'c', 'double', 'negation', 'inspection', 'add', 'test']"
370,"['correctlysized', 'icon', 'completion', 'extender']"
371,"['check', 'vfs', 'sanity', 'action']"
372,"['codedups', 'cleanup']"
373,"['external', 'system', 'add', 'clickable', 'link', 'log', 'folder', 'project', 'import', 'failure', 'message']"
374,"['py16335', 'preserve', 'formatting', 'converted', 'collection', 'literals']"
375,"['framewrapper', 'restore', 'frame', 'state', 'iconified', 'idea87792']"
376,"['added', 'additional', 'shortcut']"
377,"['optimization', 'cache', 'orgjunittest']"
378,['py996']
379,"['ideadev25382', 'idiotic', 'please', 'recompile', 'error', 'message', 'killed']"
380,"['editorpaintstart', 'useless', 'case']"
381,"['resolve', 'completion', 'django', 'settings', 'py563']"
382,"['fixed', 'typos', 'test']"
383,"['smtestrunner', 'statistics', 'tab', 'total', 'column', 'caption', 'improved']"
384,"['idea80573', 'gitcheckoutoperation', 'sleep', 'bit', 'let', 'file', 'watcher', 'report', 'changes', 'small', 'repositories', 'refresh', 'fast']"
385,"['changeutilencodedecodeinformation', 'groovy']"
386,"['fix', 'navbar', 'rebuild', 'popup', 'invocation']"
387,"['method', 'return', 'fix', 'touch', 'super', 'method', 'formal', 'parameters']"
388,"['maven', 'test', 'fixed', 'removing', 'unnecessary', 'obsolete', 'assertion']"
389,"['one', 'test', 'fails', 'code', 'moved', 'common', 'framework']"
390,"['bad', 'linking', 'xerces', 'messages']"
391,"['vcslog', 'make', 'beklineargraph', 'testable']"
392,"['idea35738', 'cannot', 'drag', 'around', 'label', 'empty', 'text']"
393,"['plugins', 'tooltip', 'plugins', 'newer', 'version', 'idea75998']"
394,"['xml', 'rename', 'dialog', 'doesnt', 'accept', 'character', 'ideadev35547']"
395,"['junit', 'ui', 'redesign', 'part', '4', 'rerun', 'failed', 'tests', 'button', 'moved', 'proper', 'place']"
396,"['remember', 'committed', 'changes', 'splitter', 'proportions', 'ideadev16784']"
397,"['major', 'changes', 'data', 'structures', 'reimplementation', 'beautification']"
398,"['fixed', 'ipnb', 'editor', 'layout']"
399,"['cheaper', 'progressmanagercheckcanceled', 'mostly', 'call', 'abstract', 'method', 'eliminated']"
400,"['improved', 'align', 'behavior', 'align', 'subsequent', 'assignments', 'hashes']"
401,"['preferred', 'focused', 'component', 'idea60570']"
402,"['class', 'kind', 'calculation', 'may', 'produce', 'inre', 'scl1349']"
403,['javadoc']
404,"['idea139609', 'gradle', 'new', 'module', 'wizard', 'select', 'gradle', 'project', 'dialog', 'selection', 'confirmed', 'doubleclicking', 'pressing', 'enter']"
405,['npe']
406,"['cleanup', 'code']"
407,"['maven', 'escaping', 'support', 'resource', 'compiler', 'ideadev35524']"
408,"['form', 'scope', 'provider', 'dom', 'lookups', 'implemented']"
409,"['ep', 'upsource', 'added']"
410,"['cpp560', 'new', 'welcome', 'screen', 'clion']"
411,"['support', 'forced', 'compilation', 'set', 'filesmodules']"
412,"['added', 'overloaded', 'varargs', 'method', 'inspection']"
413,"['vcslog', 'idea125276', 'support', 'regular', 'expressions', 'branch', 'filter']"
414,"['mac', 'laf', 'add', 'support', 'search', 'controls', 'history', 'popups']"
415,"['ideadev11483', 'ie', 'conditional', 'comments', 'support', 'progress']"
416,"['symlink', 'support', 'vfs', 'soe', 'protection']"
